,Keyword,Score,Chapter,Author
0,arjuna,7.062000000000001,1,Shri Purohit Swami
1,battle,5.3508,1,Shri Purohit Swami
2,duryodhana,4.273600000000001,1,Shri Purohit Swami
3,generals,3.7944,1,Shri Purohit Swami
4,chariot,3.790799999999999,1,Shri Purohit Swami
5,bowmen,3.654,1,Shri Purohit Swami
6,valiant,3.480400000000001,1,Shri Purohit Swami
7,die,3.3939999999999992,1,Shri Purohit Swami
8,trumpets,3.3256000000000006,1,Shri Purohit Swami
9,commanded,3.1060000000000008,1,Shri Purohit Swami
0,arjuna,9.219000000000001,2,Shri Purohit Swami
1,krishna,7.942000000000001,2,Shri Purohit Swami
2,compassion,7.1375,2,Shri Purohit Swami
3,endure,6.728999999999998,2,Shri Purohit Swami
4,battle,5.7204999999999995,2,Shri Purohit Swami
5,kill,4.970499999999999,2,Shri Purohit Swami
6,aryans,4.770499999999999,2,Shri Purohit Swami
7,profess,3.9419999999999997,2,Shri Purohit Swami
8,bheeshma,3.8049999999999993,2,Shri Purohit Swami
9,away,3.4969999999999994,2,Shri Purohit Swami
0,arjuna,3.9186,3,Shri Purohit Swami
1,sacrifice,3.7554000000000003,3,Shri Purohit Swami
2,refraining,2.9433000000000002,3,Shri Purohit Swami
3,wisdom,2.6979,3,Shri Purohit Swami
4,sinless,2.4873,3,Shri Purohit Swami
5,unto,2.4324,3,Shri Purohit Swami
6,consciously,2.2989,3,Shri Purohit Swami
7,duty,2.2466999999999997,3,Shri Purohit Swami
8,yoga,2.0727,3,Shri Purohit Swami
9,nourish,2.0379,3,Shri Purohit Swami
0,arjuna,3.4256999999999995,4,Shri Purohit Swami
1,reincarnate,3.2925,4,Shri Purohit Swami
2,wisdom,3.1961999999999997,4,Shri Purohit Swami
3,krishna,2.9076,4,Shri Purohit Swami
4,worship,2.9040000000000004,4,Shri Purohit Swami
5,materialism,2.3295000000000003,4,Shri Purohit Swami
6,devotee,2.118,4,Shri Purohit Swami
7,changeless,2.0469,4,Shri Purohit Swami
8,ancestors,1.9698000000000002,4,Shri Purohit Swami
9,births,1.8155999999999999,4,Shri Purohit Swami
0,meditating,1.6680000000000001,5,Shri Purohit Swami
1,wisdom,1.6500000000000001,5,Shri Purohit Swami
2,renunciation,1.545,5,Shri Purohit Swami
3,krishna,1.3442,5,Shri Purohit Swami
4,arjuna,1.2718,5,Shri Purohit Swami
5,praise,1.254,5,Shri Purohit Swami
6,divine,1.2022,5,Shri Purohit Swami
7,sin,1.1706,5,Shri Purohit Swami
8,purification,1.1674,5,Shri Purohit Swami
9,perceives,1.14,5,Shri Purohit Swami
0,spirituality,7.8191999999999995,6,Shri Purohit Swami
1,meditation,7.692400000000001,6,Shri Purohit Swami
2,krishna,5.5712,6,Shri Purohit Swami
3,arjuna,4.9048,6,Shri Purohit Swami
4,celibacy,4.813999999999999,6,Shri Purohit Swami
5,purification,4.505199999999999,6,Shri Purohit Swami
6,renounces,4.4928,6,Shri Purohit Swami
7,virtuous,4.4416,6,Shri Purohit Swami
8,vow,4.3192,6,Shri Purohit Swami
9,sage,4.2392,6,Shri Purohit Swami
0,arjuna,1.7433999999999998,7,Shri Purohit Swami
1,krishna,1.6296,7,Shri Purohit Swami
2,godless,1.461,7,Shri Purohit Swami
3,spiritual,1.3648,7,Shri Purohit Swami
4,righteousness,1.35,7,Shri Purohit Swami
5,eternal,1.2576,7,Shri Purohit Swami
6,scriptures,1.1952,7,Shri Purohit Swami
7,beings,1.0293999999999999,7,Shri Purohit Swami
8,natures,1.011,7,Shri Purohit Swami
9,unto,1.007,7,Shri Purohit Swami
0,arjuna,1.6238,8,Shri Purohit Swami
1,devotion,1.5604,8,Shri Purohit Swami
2,consciousness,1.5432000000000001,8,Shri Purohit Swami
3,eternity,1.5066,8,Shri Purohit Swami
4,souls,1.4735999999999998,8,Shri Purohit Swami
5,divinity,1.4056,8,Shri Purohit Swami
6,krishna,1.3932,8,Shri Purohit Swami
7,meditate,1.1612,8,Shri Purohit Swami
8,scriptures,1.1562000000000001,8,Shri Purohit Swami
9,omniscient,1.0748,8,Shri Purohit Swami
0,devotion,4.0974,9,Shri Purohit Swami
1,arjuna,4.0791,9,Shri Purohit Swami
2,krishna,3.7794000000000003,9,Shri Purohit Swami
3,godless,3.5805000000000007,9,Shri Purohit Swami
4,mysticism,3.0495,9,Shri Purohit Swami
5,souls,2.7045,9,Shri Purohit Swami
6,multitude,2.2734,9,Shri Purohit Swami
7,immovable,2.1765,9,Shri Purohit Swami
8,beings,2.1432,9,Shri Purohit Swami
9,universe,2.0559,9,Shri Purohit Swami
0,krishna,4.0605,10,Shri Purohit Swami
1,arjuna,3.6621,10,Shri Purohit Swami
2,devotion,3.4368,10,Shri Purohit Swami
3,godless,3.0320999999999994,10,Shri Purohit Swami
4,wisdom,2.6559,10,Shri Purohit Swami
5,eternal,2.5881,10,Shri Purohit Swami
6,mankind,2.5776,10,Shri Purohit Swami
7,holiest,2.3615999999999997,10,Shri Purohit Swami
8,progenitors,2.2728,10,Shri Purohit Swami
9,contentment,2.16,10,Shri Purohit Swami
0,arjuna,8.1428,11,Shri Purohit Swami
1,krishna,6.307600000000001,11,Shri Purohit Swami
2,omnipresent,4.706799999999999,11,Shri Purohit Swami
3,universe,4.357599999999999,11,Shri Purohit Swami
4,behold,4.3488,11,Shri Purohit Swami
5,celestial,3.2848,11,Shri Purohit Swami
6,embraced,2.6608,11,Shri Purohit Swami
7,radiance,2.0816,11,Shri Purohit Swami
8,powers,2.08,11,Shri Purohit Swami
9,petal,2.0684,11,Shri Purohit Swami
0,devotee,1.5461999999999998,12,Shri Purohit Swami
1,worship,1.5124,12,Shri Purohit Swami
2,krishna,1.33,12,Shri Purohit Swami
3,arjuna,1.2934,12,Shri Purohit Swami
4,eternal,1.1082,12,Shri Purohit Swami
5,meditate,0.993,12,Shri Purohit Swami
6,renunciation,0.903,12,Shri Purohit Swami
7,verily,0.7250000000000001,12,Shri Purohit Swami
8,realise,0.7064,12,Shri Purohit Swami
9,attention,0.6033999999999999,12,Shri Purohit Swami
0,devotion,3.4737,13,Shri Purohit Swami
1,wisdom,3.4497000000000004,13,Shri Purohit Swami
2,vitality,2.9408999999999996,13,Shri Purohit Swami
3,perception,2.7633,13,Shri Purohit Swami
4,krishna,2.6813999999999996,13,Shri Purohit Swami
5,omniscient,2.5989000000000004,13,Shri Purohit Swami
6,nature,2.5709999999999997,13,Shri Purohit Swami
7,arjuna,2.5329,13,Shri Purohit Swami
8,matter,2.4231000000000003,13,Shri Purohit Swami
9,renunciation,2.1197999999999997,13,Shri Purohit Swami
0,purity,1.7892000000000001,14,Shri Purohit Swami
1,indolence,1.6194,14,Shri Purohit Swami
2,krishna,1.5384,14,Shri Purohit Swami
3,divinity,1.2492,14,Shri Purohit Swami
4,sinless,1.1905999999999999,14,Shri Purohit Swami
5,infatuation,1.171,14,Shri Purohit Swami
6,spirit,1.0992,14,Shri Purohit Swami
7,reborn,1.0981999999999998,14,Shri Purohit Swami
8,eternal,1.0618,14,Shri Purohit Swami
9,knowledge,1.0196,14,Shri Purohit Swami
0,eternal,1.7195999999999998,15,Shri Purohit Swami
1,creation,1.6536,15,Shri Purohit Swami
2,krishna,1.6248,15,Shri Purohit Swami
3,scriptures,1.452,15,Shri Purohit Swami
4,wisdom,1.316,15,Shri Purohit Swami
5,perceive,1.1522000000000001,15,Shri Purohit Swami
6,celestial,1.0814,15,Shri Purohit Swami
7,regeneration,1.0272000000000001,15,Shri Purohit Swami
8,nourishment,0.934,15,Shri Purohit Swami
9,tree,0.8282,15,Shri Purohit Swami
0,godless,1.4975999999999998,16,Shri Purohit Swami
1,krishna,1.4572,16,Shri Purohit Swami
2,wrath,1.3668,16,Shri Purohit Swami
3,scriptures,1.318,16,Shri Purohit Swami
4,harmlessness,0.9548,16,Shri Purohit Swami
5,modesty,0.9039999999999999,16,Shri Purohit Swami
6,shall,0.7548,16,Shri Purohit Swami
7,destroy,0.7414000000000001,16,Shri Purohit Swami
8,delusion,0.6836,16,Shri Purohit Swami
9,hypocritical,0.6546000000000001,16,Shri Purohit Swami
0,sacrifice,2.0196,17,Shri Purohit Swami
1,purity,1.5750000000000002,17,Shri Purohit Swami
2,krishna,1.5453999999999999,17,Shri Purohit Swami
3,arjuna,1.4934,17,Shri Purohit Swami
4,scriptures,1.2934,17,Shri Purohit Swami
5,nourishing,1.1594,17,Shri Purohit Swami
6,aryans,1.0374,17,Shri Purohit Swami
7,vigour,0.9914,17,Shri Purohit Swami
8,unclean,0.9443999999999999,17,Shri Purohit Swami
9,covet,0.9006000000000001,17,Shri Purohit Swami
0,arjuna,14.1294,18,Shri Purohit Swami
1,benevolence,11.870400000000002,18,Shri Purohit Swami
2,sacrifice,11.7606,18,Shri Purohit Swami
3,renunciation,11.533800000000001,18,Shri Purohit Swami
4,philosophy,10.467,18,Shri Purohit Swami
5,relinquishment,10.1544,18,Shri Purohit Swami
6,desire,8.834399999999997,18,Shri Purohit Swami
7,renounce,7.869,18,Shri Purohit Swami
8,forgoing,7.253399999999997,18,Shri Purohit Swami
9,act,5.4372,18,Shri Purohit Swami
