,Keyword,Score,Chapter,Author
0,arjuna,7.479600000000001,1,Eknath Easwaran
1,battle,5.1896,1,Eknath Easwaran
2,dharma,5.004000000000001,1,Eknath Easwaran
3,brahmins,4.98,1,Eknath Easwaran
4,dhritarashtra,4.9159999999999995,1,Eknath Easwaran
5,bhima,4.2868,1,Eknath Easwaran
6,duryodhana,4.2143999999999995,1,Eknath Easwaran
7,chariots,3.6208,1,Eknath Easwaran
8,archers,3.4972000000000008,1,Eknath Easwaran
9,roared,3.2332000000000005,1,Eknath Easwaran
0,arjuna,9.141999999999998,2,Eknath Easwaran
1,immortality,8.178,2,Eknath Easwaran
2,krishna,7.4495,2,Eknath Easwaran
3,arise,6.574999999999999,2,Eknath Easwaran
4,reverence,6.4895000000000005,2,Eknath Easwaran
5,disciple,6.2485,2,Eknath Easwaran
6,realize,5.582500000000001,2,Eknath Easwaran
7,unworthy,4.2305,2,Eknath Easwaran
8,killed,3.9175000000000004,2,Eknath Easwaran
9,armies,3.7595,2,Eknath Easwaran
0,arjuna,3.8754,3,Eknath Easwaran
1,krishna,3.2052,3,Eknath Easwaran
2,selflessly,3.1749,3,Eknath Easwaran
3,worship,2.7168,3,Eknath Easwaran
4,wisdom,2.6712000000000002,3,Eknath Easwaran
5,desires,2.6582999999999997,3,Eknath Easwaran
6,abstaining,2.3960999999999997,3,Eknath Easwaran
7,war,1.9980000000000002,3,Eknath Easwaran
8,minded,1.8491999999999997,3,Eknath Easwaran
9,yoga,1.8218999999999996,3,Eknath Easwaran
0,teachings,3.7466999999999997,4,Eknath Easwaran
1,arjuna,3.6864000000000003,4,Eknath Easwaran
2,dharma,3.5676,4,Eknath Easwaran
3,krishna,3.2223,4,Eknath Easwaran
4,yoga,2.9874000000000005,4,Eknath Easwaran
5,eternal,2.2518,4,Eknath Easwaran
6,devotee,2.1816000000000004,4,Eknath Easwaran
7,sages,2.1761999999999997,4,Eknath Easwaran
8,changeless,2.0433000000000003,4,Eknath Easwaran
9,surrendering,2.0397,4,Eknath Easwaran
0,selfless,1.4624000000000001,5,Eknath Easwaran
1,wisdom,1.4451999999999998,5,Eknath Easwaran
2,renunciation,1.4444,5,Eknath Easwaran
3,arjuna,1.3904,5,Eknath Easwaran
4,krishna,1.3719999999999999,5,Eknath Easwaran
5,judgment,1.1972,5,Eknath Easwaran
6,desires,1.1026,5,Eknath Easwaran
7,sannyasa,0.9441999999999999,5,Eknath Easwaran
8,duality,0.9346000000000001,5,Eknath Easwaran
9,selfishly,0.8674,5,Eknath Easwaran
0,meditation,8.200800000000001,6,Eknath Easwaran
1,yoga,6.7012,6,Eknath Easwaran
2,selfrealization,5.6015999999999995,6,Eknath Easwaran
3,arjuna,4.6739999999999995,6,Eknath Easwaran
4,selfless,4.3812,6,Eknath Easwaran
5,attains,4.2148,6,Eknath Easwaran
6,energy,3.7008,6,Eknath Easwaran
7,abiding,3.5268,6,Eknath Easwaran
8,refrain,3.1544,6,Eknath Easwaran
9,renounce,2.6083999999999996,6,Eknath Easwaran
0,arjuna,1.8248000000000002,7,Eknath Easwaran
1,devotion,1.6158,7,Eknath Easwaran
2,krishna,1.5846,7,Eknath Easwaran
3,spiritual,1.3565999999999998,7,Eknath Easwaran
4,prakriti,1.029,7,Eknath Easwaran
5,eternal,1.0166,7,Eknath Easwaran
6,universe,1.0072,7,Eknath Easwaran
7,yoga,0.9668,7,Eknath Easwaran
8,nature,0.897,7,Eknath Easwaran
9,realize,0.8260000000000001,7,Eknath Easwaran
0,brahman,1.7868,8,Eknath Easwaran
1,arjuna,1.7544,8,Eknath Easwaran
2,devotion,1.6429999999999998,8,Eknath Easwaran
3,krishna,1.5832,8,Eknath Easwaran
4,eternal,1.5326,8,Eknath Easwaran
5,souls,1.3868,8,Eknath Easwaran
6,adhiyajna,1.1318000000000001,8,Eknath Easwaran
7,death,1.0342,8,Eknath Easwaran
8,existence,1.0058,8,Eknath Easwaran
9,realize,0.9658,8,Eknath Easwaran
0,devotion,4.0899,9,Eknath Easwaran
1,krishna,3.8700000000000006,9,Eknath Easwaran
2,arjuna,3.4362,9,Eknath Easwaran
3,eternal,3.1587,9,Eknath Easwaran
4,souls,3.0534000000000003,9,Eknath Easwaran
5,divine,2.7156000000000002,9,Eknath Easwaran
6,behold,2.3883,9,Eknath Easwaran
7,vijnana,2.3678999999999997,9,Eknath Easwaran
8,wisdom,2.3283,9,Eknath Easwaran
9,existence,2.1510000000000002,9,Eknath Easwaran
0,krishna,4.1379,10,Eknath Easwaran
1,arjuna,3.9726000000000004,10,Eknath Easwaran
2,brahman,3.3918,10,Eknath Easwaran
